O,D,Bike_time,Bike_dist
3,21,2867.48,14.26
3,22,2210.52,11
3,23,1032.59,4.91
3,24,581.96,2.91
3,25,1515.43,7.32
3,26,1715.56,8.52
3,27,636.33,3.18
3,28,877.74,4.28
3,29,1769.13,8.69
3,30,1101.19,5.16
3,31,1091.52,5.4
3,32,2462.87,12.16
3,33,2935.5,14.41
3,34,2769.53,13.69
3,35,3349.35,16.58
3,36,1006.67,4.98
3,37,656.61,3.2
3,38,1479.88,7.22
3,39,2928.35,14.46
3,40,4386.1,21.17
3,41,3602.41,17.78
3,42,2368.35,11.49
3,43,2712.61,13.14
3,44,5758.05,28.38
3,45,1932.27,9.61
3,46,3172.74,15.82
3,47,3485.71,17.17
3,48,2736.56,13.63
3,49,2913.86,14.5
3,50,3279.25,15.86
3,51,3130.82,15.46
3,52,2511.17,12.49
3,53,4872.34,23.7
3,54,4020.24,19.79
3,55,3583.88,17.65
3,56,1630.02,8.11
3,57,1883.08,9.2
3,58,2556.9,12.73
3,59,2505.82,12.47
3,60,2191.71,10.69
3,61,2230.25,11.1
3,62,3457.71,17
3,63,3840.28,18.88
3,64,4126,20.39
3,65,3989.4,19.57
3,66,960.83,4.73
3,67,1900.2,9.37
3,68,2310.47,11.41
3,69,1280.35,6.35
3,70,1560.06,7.28
3,71,3185.1,15.64
3,72,3138.16,15.49
3,73,1770.45,8.8
3,74,2845.19,14.21
3,75,3701.45,18.13
3,76,3674.5,18.24
3,77,4057.31,19.99
3,78,3714.66,18.08
3,79,2707.72,13.2
3,80,2599.36,12.79
3,81,2721.8,13.42
3,82,2274.14,11.27
3,83,1731.68,8.41
3,84,1456.91,7.03
3,85,1598.79,7.62
3,86,1267.35,5.89
3,87,1356.23,6.44
3,88,4038.24,19.88
3,89,3044.91,14.95
3,90,2043.24,10.03
3,91,1996.72,9.16
3,92,1506.42,7.48
3,93,1318.62,6.54
3,94,1449.17,7.19
3,95,948.8,4.69
3,96,2185.7,10.87
3,97,2676.22,13.33
3,98,3000.34,14.95
3,99,2149.1,10.69
3,100,1348.88,6.69
3,101,3249.52,16.18
3,102,4995.65,24.09
3,103,1683.95,8.26
3,104,1315.69,6.51
3,105,2398.53,11.89
3,106,2252.45,10.61
3,107,3748.24,16.92
3,108,2435.47,12.12
3,109,1791.75,8.85
3,110,2468.64,12.12
3,111,2054.97,10.06
3,112,2799.1,13.81
3,113,4963.52,23.5
3,114,1956.63,9.71
4,1,391.14,1.9
4,2,2942.96,14.55
4,3,769.91,3.81
4,4,0,0
4,5,468.22,2.2
4,6,2938.52,14.37
4,7,915.3,4.58
4,8,2528.93,12.38
4,9,1240.58,6.19
4,10,1829.1,9.1
4,11,1294.16,5.82
4,12,1309.87,6.26
4,13,1290.26,6.41
4,14,3674.01,18.12
4,15,3172.18,15.8
4,16,2330.39,11.39
4,17,2073.41,10.37
4,18,1546.56,7.71
4,19,2379.44,11.77
4,20,747.78,3.73
4,21,3393.04,16.78
4,22,2736.08,13.52
