O,D,Car_time,Car_dist
3,27,325.36,3.1
3,28,438.67,3.85
3,29,835.69,10.08
3,30,506.9,5.11
3,31,538.54,5.52
3,32,904.17,12.5
3,33,1280.34,15.43
3,34,1083.53,13.21
3,35,1482.48,17.08
3,36,607.26,4.34
3,37,390.41,3.22
3,38,692.78,7.94
3,39,1432.04,16.17
3,40,1688.45,22.01
3,41,1370.88,18.77
3,42,1045.03,12.59
3,43,1224.76,14.99
3,44,2111.77,26.9
3,45,915.48,9.42
3,46,1438.45,15.31
3,47,1515.19,18.11
3,48,1236.93,14.4
3,49,1421.18,15.58
3,50,1744.33,17.39
3,51,1416.75,16.47
3,52,1127.99,13.64
3,53,1754.54,23.43
3,54,1428.1,20.17
3,55,1404.82,18.11
3,56,731.99,7.91
3,57,841.45,9.5
3,58,1154.95,13.32
3,59,1213.3,13.13
3,60,1085.05,12.48
3,61,944.53,11.03
3,62,1352.03,17.88
3,63,1565.47,19.89
3,64,1582.11,22.14
3,65,1473.98,20.22
3,66,628.49,4.82
3,67,939.3,9.9
3,68,1009.31,13.89
3,69,587.62,6.09
3,70,818.34,8.61
3,71,1276.89,16.38
3,72,1271.39,16.69
3,73,902.12,10.49
3,74,1199.18,13.14
3,75,1457.32,19.16
3,76,1637.2,18.75
3,77,1831.96,20.38
3,78,1542.6,19.69
3,79,1249.99,13.41
3,80,1136.43,13.04
3,81,1167.68,13.54
3,82,949.71,11.17
3,83,830.2,9.22
3,84,682.86,6.93
3,85,767.84,8.48
3,86,641.65,5.91
3,87,723.45,6.49
3,88,1486.62,20.18
3,89,1345.84,15
3,90,957.43,10.12
3,91,814.2,8.97
3,92,726.28,8.49
3,93,670.57,6.73
3,94,774.01,8.38
3,95,624.89,5.65
3,96,934.19,11.35
3,97,1066,14.08
3,98,1139.84,16.51
3,99,1105.83,12.24
3,100,600.61,7.05
3,101,1262.18,16.46
3,102,1893.77,24.65
3,103,870.3,8.71
3,104,836.77,7.49
3,105,1081.19,11.91
3,106,884.81,10.46
3,107,1171.07,11.34
3,108,1110.37,12.68
3,109,773.95,8.74
3,110,1162.44,11.67
3,111,981.65,10.71
3,112,1034.47,13.83
3,113,1959.07,24.57
3,114,909.52,9.6
4,1,284.31,2.04
4,2,1153.12,14.36
4,3,480.54,3.43
4,4,0,0
4,5,287.96,2.06
4,6,1142.33,14.72
4,7,454.74,3.93
4,8,1153.98,13.03
4,9,642.73,5.97
4,10,1076.92,11.24
4,11,577.74,5.37
4,12,739.76,6.78
4,13,781.87,6.41
4,14,1502.95,17.99
4,15,1145.74,15.84
4,16,1089.63,11.41
4,17,935.04,9.73
4,18,789.96,7.69
4,19,1511.99,11.88
4,20,532.81,3.79
4,21,1273.39,16.54
4,22,1095.36,13.41
4,23,381.35,2.56
4,24,607.14,5.61
4,25,633.1,4.82
4,26,760.21,7.53
4,27,475.66,5.03
4,28,435,3.02
4,29,985.99,12.01
4,30,357.88,3.85
4,31,582.25,5.44
4,32,989.67,13.66
4,33,1089.2,12.51
4,34,1039.89,12.82
4,35,1429.1,16.35
4,36,844.03,9.3
4,37,574.24,4.91
4,38,881.81,9.63
4,39,1517.53,17.33
4,40,1674.58,20.56
4,41,1299.73,18.25
4,42,973.88,12.07
4,43,1386.19,14.92
4,44,1920.63,23.97
4,45,1065.77,11.35
4,46,1523.94,16.48
4,47,1504.6,18.54
4,48,1223.06,12.95
4,49,1407.31,14.13
4,50,1730.46,15.94
4,51,1402.88,15.01
4,52,1213.49,14.8
4,53,1563.4,20.5
4,54,1236.96,17.25
4,55,1213.68,15.18
4,56,806.69,7.95
4,57,1030.49,11.2
4,58,1141.08,11.87
4,59,1199.43,11.67
4,60,893.91,9.56
4,61,1094.82,12.96
4,62,1160.89,14.95
4,63,1374.34,16.96
4,64,1568.24,20.69
4,65,1460.11,18.77
4,66,777.01,6.9
4,67,1089.59,11.83
4,68,1094.81,15.05
4,69,737.92,8.02
4,70,968.64,10.54
4,71,1085.75,13.46
4,72,1356.89,17.86
4,73,888.25,9.04
4,74,1284.68,14.31
4,75,1443.45,17.71
4,76,1623.33,17.3
4,77,1818.09,18.93
4,78,1351.47,16.76
4,79,1058.85,10.48
4,80,1121.43,14.49
