O,D,Walk_time,Walk_dist
3,19,11317.6,15.72
3,20,2670.85,3.71
3,21,10437.99,14.5
3,22,8121.07,11.28
3,23,3103.93,4.31
3,24,1810.17,2.51
3,25,4017,5.58
3,26,5784.25,8.03
3,27,2139.72,2.97
3,28,2640.83,3.67
3,29,5746.11,7.98
3,30,3261.79,4.53
3,31,3708.29,5.15
3,32,8256.11,11.47
3,33,9971.41,13.85
3,34,8920.72,12.39
3,35,11563.09,16.06
3,36,3265.23,4.54
3,37,2370.32,3.29
3,38,5044.94,7.01
3,39,10880.28,15.11
3,40,15177.79,21.08
3,41,12661.88,17.59
3,42,8432.37,11.71
3,43,9380.69,13.03
3,44,19922.25,27.67
3,45,6839.79,9.5
3,46,10122.28,14.06
3,47,10404.39,14.45
3,48,9846.49,13.68
3,49,10309.51,14.32
3,50,11218.5,15.58
3,51,10655.56,14.8
3,52,8015.66,11.13
3,53,16582.27,23.03
3,54,13554.05,18.83
3,55,12360.62,17.17
3,56,5783.58,8.03
3,57,5919.28,8.22
3,58,9081.85,12.61
3,59,8792.91,12.21
3,60,7615.04,10.58
3,61,8423.59,11.7
3,62,11905,16.53
3,63,13086.41,18.18
3,64,14280.46,19.83
3,65,13821.2,19.2
3,66,3277.54,4.55
3,67,6590.83,9.15
3,68,7875.7,10.94
3,69,4419.18,6.14
3,70,4994.83,6.94
3,71,11021.8,15.31
3,72,10323.95,14.34
3,73,6155.24,8.55
3,74,8917.36,12.39
3,75,12780.76,17.75
3,76,13051.75,18.13
3,77,14372.46,19.96
3,78,12019.95,16.69
3,79,8445.34,11.73
3,80,8970,12.46
3,81,9498.57,13.19
3,82,7501.71,10.42
3,83,5786.18,8.04
3,84,4232.2,5.88
3,85,5290.65,7.35
3,86,3353.59,4.66
3,87,4149.46,5.76
3,88,14764.5,20.51
3,89,10653.18,14.8
3,90,7029.66,9.76
3,91,6355.8,8.83
3,92,5090.8,7.07
3,93,4574.01,6.35
3,94,5069.86,7.04
3,95,3756.33,5.22
3,96,7092.76,9.85
3,97,9812.63,13.63
3,98,10557.08,14.66
3,99,7492.25,10.41
3,100,4571.72,6.35
3,101,11995.59,16.66
3,102,16931.75,23.52
3,103,5980.15,8.31
3,104,5048.43,7.01
3,105,7633.84,10.6
3,106,7756.47,10.77
3,107,10737.44,14.91
3,108,8253.16,11.46
3,109,5666.44,7.87
3,110,8799.49,12.22
3,111,6879.01,9.55
3,112,9357.16,13
3,113,16536.37,22.97
3,114,7177.63,9.97
4,1,1445.75,2.01
4,2,10106.58,14.04
4,3,1861.75,2.59
4,4,0,0
4,5,1263.02,1.75
4,6,9686.85,13.45
4,7,2705.65,3.76
4,8,8393.2,11.66
4,9,4323.66,6.01
4,10,5777.2,8.02
4,11,4033.27,5.6
4,12,4696.2,6.52
4,13,4232.34,5.88
4,14,12222.69,16.98
4,15,10765.12,14.95
4,16,8264.77,11.48
4,17,6970.02,9.68
4,18,5442.05,7.56
4,19,9807.93,13.62
4,20,2770.93,3.85
4,21,11704.43,16.26
4,22,9387.51,13.04
4,23,1562.79,2.17
4,24,3087.46,4.29
4,25,2475.86,3.44
4,26,4929.52,6.85
4,27,3515.13,4.88
4,28,2097,2.91
4,29,6853.56,9.52
4,30,2201.21,3.06
4,31,4010.74,5.57
4,32,9252.46,12.85
4,33,9072.9,12.6
4,34,8448.37,11.73
4,35,11090.74,15.4
4,36,4446.69,6.18
4,37,2859.43,3.97
4,38,6014.04,8.35
4,39,10478.27,14.55
4,40,14616.86,20.3
4,41,12599.6,17.5
4,42,8521.89,11.84
4,43,10562.15,14.67
4,44,18381.11,25.53
4,45,8106.24,11.26
4,46,10119.74,14.06
4,47,10353.77,14.38
4,48,8996.4,12.5
4,49,9459.42,13.14
4,50,10368.41,14.4
4,51,10094.64,14.02
4,52,8772.46,12.18
4,53,15628.72,21.71
4,54,12851.26,17.85
4,55,11113.96,15.44
4,56,5744.31,7.98
4,57,7511.13,10.43
4,58,8231.76,11.43
4,59,8000.11,11.11
4,60,6848.75,9.51
4,61,9626.94,13.37
4,62,10838.44,15.05
4,63,11545.27,16.04
4,64,13430.37,18.65
4,65,13260.27,18.42
