O,D,str.dist,Bike_ta,Bike_da,Walk_ta,Walk_da,Car_ta,Car_da,Bike_dr,Walk_dr,Car_dr
1,52,11.11020676,2975.43,14.8,9928.38,13.79,1244.89,15.01,1.332108423,1.241201024,1.351009961
1,53,15.88503049,4177.74,20.48,14706.85,20.43,1312.38,18.99,1.289264129,1.286116512,1.195465128
1,54,13.30217135,3325.65,16.57,11729.84,16.29,985.94,15.73,1.245661296,1.224612101,1.182513711
1,55,11.64085544,2889.29,14.43,9992.54,13.88,962.66,13.67,1.239599621,1.192352234,1.174312323
1,56,4.656426062,1218.58,6.09,4501.6,6.25,548.91,6.02,1.30787001,1.342231127,1.292837021
1,57,7.210816584,2082.53,10.09,7277.47,10.11,1001.92,9.75,1.399286736,1.402060347,1.352135349
1,58,10.86368428,2616.69,13.08,9677.51,13.44,1220.52,13.65,1.204011426,1.237149355,1.256479813
1,59,10.40665975,2853.34,14.26,9445.86,13.12,1278.86,13.45,1.370276375,1.260731139,1.292441602
1,60,6.179219438,1497.12,7.47,5727.33,7.95,642.89,8.04,1.208890552,1.286570267,1.301135213
1,61,9.931570545,2702.85,13.46,10133.21,14.07,1211.43,14.19,1.355274067,1.416694362,1.428777043
1,62,11.51139383,2664,13.29,9717.02,13.5,909.87,13.44,1.154508325,1.17275112,1.167538893
1,63,12.77032718,2960.25,14.71,10623.4,14.75,1123.32,15.45,1.151889046,1.155021307,1.209835878
1,64,16.86965974,4171.25,20.75,14876.12,20.66,1647.68,22.46,1.230018882,1.22468386,1.331384293
1,65,16.36376563,4336.92,21.35,14706.02,20.43,1539.55,20.55,1.304711916,1.248490137,1.255823413
1,66,5.569475907,1433.43,7.1,5072.49,7.05,893.61,8.12,1.274805766,1.265828261,1.457946876
1,67,9.57909646,2372.79,11.73,8357.64,11.61,1206.19,13.05,1.22454138,1.212014103,1.362341433
1,68,10.60724113,2783.06,13.77,9642.77,13.39,1126.21,15.26,1.298169791,1.262345207,1.43863987
1,69,6.248974795,1752.95,8.72,6128.81,8.51,854.52,9.24,1.395428896,1.361823384,1.478642546
1,70,7.218709547,2032.65,9.64,6887.34,9.57,1085.24,11.76,1.335418739,1.325721715,1.629100038
1,71,9.757642552,2367.19,11.79,8558.79,11.89,834.73,11.94,1.208283654,1.218532031,1.22365622
1,72,13.40098809,3602.42,17.8,12236.68,17,1388.29,18.06,1.328260265,1.268563175,1.34766182
1,73,8.477691398,1935.11,9.66,7046.98,9.79,967.69,10.81,1.139461151,1.154795514,1.275111288
1,74,12.08473767,2866.04,14.32,10360.57,14.39,1316.08,14.51,1.18496573,1.190758161,1.200688041
1,75,14.74162915,4048.97,19.91,13665.59,18.98,1522.89,19.48,1.350596993,1.287510343,1.321427897
1,76,15.2142297,3719.75,18.59,13647.41,18.95,1702.77,19.07,1.221882433,1.245544492,1.253431845
1,77,15.98727503,4102.56,20.35,14968.12,20.79,1897.53,20.71,1.272887341,1.300409229,1.29540525
1,78,11.63719944,2774.23,13.63,9556.95,13.27,1100.45,15.25,1.171243998,1.14030872,1.310452749
1,79,7.148263758,1767.29,8.75,5982.33,8.31,807.83,8.97,1.224073467,1.162520058,1.254850171
1,80,9.676223647,2765.16,13.77,8825.52,12.26,870.41,12.97,1.42307583,1.267023216,1.340398948
1,81,10.77119349,2819.44,14.05,9354.08,12.99,1208.57,15.98,1.304405125,1.20599449,1.483586755
1,82,6.254610884,1762.93,8.71,5935.08,8.24,655.05,9.27,1.392572641,1.317428079,1.482106589
1,83,3.71314948,851.73,4.26,3284.3,4.56,388.04,4.78,1.147274039,1.228067985,1.287316879
1,84,2.149975999,581.05,2.91,2015.32,2.8,244.51,2.54,1.353503481,1.302340119,1.181408537
1,85,6.434372215,1583.25,7.89,5606.51,7.79,755.56,8.94,1.226226854,1.210685322,1.389412937
1,86,3.762840007,1080.14,5.22,3314.42,4.6,518.36,6.16,1.387250053,1.22248089,1.637061366
1,87,5.191083652,1340.69,6.7,4464.32,6.2,645.99,7.12,1.290674636,1.194355633,1.371582598
1,88,13.95624463,3343.64,16.66,12301.49,17.09,1044.46,15.74,1.193730867,1.224541447,1.127810555
1,89,10.06310506,2700.94,13.42,9328.85,12.96,1028.34,14,1.333584407,1.28787287,1.391220693
1,90,6.626995495,1984.35,9.87,6239.67,8.67,741.64,7.81,1.489362715,1.308285181,1.178512948
1,91,6.779642752,2196.18,10.05,6404.23,8.89,974.67,9.22,1.482378994,1.311278533,1.359953664
1,92,6.998659075,1642.48,8.2,5794.87,8.05,791.84,8.82,1.171653014,1.150220337,1.260241413
1,93,6.94046912,1641.71,8.2,6032.38,8.38,787.47,8.1,1.181476332,1.207411179,1.167068084
1,94,7.72860971,2138.48,10.67,7099.4,9.86,890.91,9.75,1.380584659,1.275779263,1.261546432
1,95,5.96814767,1694.45,8.46,5575.78,7.74,749.41,7.63,1.417525247,1.2968848,1.278453621
1,96,9.015513448,2272.03,11.35,7688.42,10.68,999.76,11.67,1.258941054,1.18462471,1.294435427
1,97,13.17530673,3148.82,15.69,11579.44,16.08,1273.98,18.14,1.190864116,1.220464945,1.376818041
1,98,14.06269879,3472.94,17.31,12323.88,17.12,1256.74,17.88,1.230915933,1.217405012,1.271448693
1,99,9.037250638,2178.82,10.89,8083.27,11.23,1124.11,12.65,1.205012502,1.242634563,1.399761997
1,100,5.975894371,1559.35,7.79,5065.89,7.04,666.18,7.38,1.303570565,1.178066338,1.234961588
1,101,15.33852391,3722.12,18.54,13762.39,19.11,1526.14,21.09,1.208721264,1.245882597,1.374969334
1,102,16.92245755,4301.06,20.87,14468.74,20.1,1451.61,20.21,1.23327241,1.187770745,1.194270982
1,103,7.787287353,2156.54,10.62,7689.78,10.68,1137.2,11.86,1.363761156,1.371466021,1.522995038
1,104,6.01241841,1889.32,9.11,6049.35,8.4,1094.21,9.36,1.515197277,1.397108356,1.556777882
1,105,9.049851432,2871.12,14.26,9343.47,12.98,1348.09,15.06,1.575716475,1.434277689,1.664115717
1,106,9.859777702,2451.91,11.5,8491.91,11.79,1045.29,10.71,1.166354896,1.195767324,1.086231386
1,107,10.46737499,4220.84,19.28,11955.21,16.6,1369.16,14.25,1.841913567,1.585879939,1.361372839
1,108,10.63000475,2782.99,13.9,9254.2,12.85,1175.94,13.01,1.307619359,1.208842357,1.22389409
1,109,8.422139856,2010.91,10.04,7124.81,9.9,890.84,10.11,1.192096091,1.175473237,1.200407518
